Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	SPAC1002.01	7.19	7.19
Red1DEL-FTP_RNAIP	IP	SPAC1002.02	7.19	7.19
Red1DEL-FTP_RNAIP	IP	SPAC1002.03c	27.6533333333333	20.8
Red1DEL-FTP_RNAIP	IP	SPAC1002.04c	23.49	18.51
Red1DEL-FTP_RNAIP	IP	SPAC1002.05c	19.47	22.565
Red1DEL-FTP_RNAIP	IP	SPAC1002.07c	44.665	44.665
Red1DEL-FTP_RNAIP	IP	SPAC1002.09c	16.91	16.535
Red1DEL-FTP_RNAIP	IP	SPAC1002.10c	19.89	19.89
Red1DEL-FTP_RNAIP	IP	SPAC1002.11	27.73	27.73
Red1DEL-FTP_RNAIP	IP	SPAC1002.12c	35.06	35.06
Red1DEL-FTP_RNAIP	IP	SPAC1002.13c	26.535	26.535
Red1DEL-FTP_RNAIP	IP	SPAC1002.15c	24.56	24.18
Red1DEL-FTP_RNAIP	IP	SPAC1006.01	19.1528571428571	18.55
Red1DEL-FTP_RNAIP	IP	SPAC1006.03c	48.7875	36.495
Red1DEL-FTP_RNAIP	IP	SPAC1006.04c	15.58	15.58
Red1DEL-FTP_RNAIP	IP	SPAC1006.05c	31.585	31.585
Red1DEL-FTP_RNAIP	IP	SPAC1006.06	19.54	10.77
Red1DEL-FTP_RNAIP	IP	SPAC1006.07	29.6283333333333	26.045
Red1DEL-FTP_RNAIP	IP	SPAC1039.04	29.44	29.44
Red1DEL-FTP_RNAIP	IP	SPAC1039.05c	28.01	28.01
Red1DEL-FTP_RNAIP	IP	SPAC1039.06	12.1075	11.895
Red1DEL-FTP_RNAIP	IP	SPAC1039.08	47.08	47.08
Red1DEL-FTP_RNAIP	IP	SPAC1039.11c	51.25	51.25
Red1DEL-FTP_RNAIP	IP	SPAC105.02c	21.61	18.515
Red1DEL-FTP_RNAIP	IP	SPAC105.03c	29.19	29.19
Red1DEL-FTP_RNAIP	IP	SPAC1071.02	47.1133333333333	16.48
Red1DEL-FTP_RNAIP	IP	SPAC1071.03c	33.67	33.67
Red1DEL-FTP_RNAIP	IP	SPAC1071.05	19.34125	16.075
Red1DEL-FTP_RNAIP	IP	SPAC1071.06	24.06	24.06
Red1DEL-FTP_RNAIP	IP	SPAC1071.07c	25.0005555555556	24.145
Red1DEL-FTP_RNAIP	IP	SPAC1071.08	36.2158333333333	22.585
Red1DEL-FTP_RNAIP	IP	SPAC1071.10c	32.3375	28.63
Red1DEL-FTP_RNAIP	IP	SPAC1071.11	37.42	33.415
Red1DEL-FTP_RNAIP	IP	SPAC1071.12c	24.71	24.71
Red1DEL-FTP_RNAIP	IP	SPAC1071.13	63.2863888888889	57.795
Red1DEL-FTP_RNAIP	IP	SPAC1093.01	38.13	38.13
Red1DEL-FTP_RNAIP	IP	SPAC1093.02	22.415	22.88
Red1DEL-FTP_RNAIP	IP	SPAC1093.03	35.9983333333333	30.755
Red1DEL-FTP_RNAIP	IP	SPAC1093.04c	23.545	23.545
Red1DEL-FTP_RNAIP	IP	SPAC1093.06c	131.57	131.57
Red1DEL-FTP_RNAIP	IP	SPAC1093.07	33.085	33.085
Red1DEL-FTP_RNAIP	IP	SPAC10F6.01c	31.576	22.06
Red1DEL-FTP_RNAIP	IP	SPAC10F6.02c	18.735	14.96
Red1DEL-FTP_RNAIP	IP	SPAC10F6.03c	31.34	29.95
Red1DEL-FTP_RNAIP	IP	SPAC10F6.04	14.215	14.215
Red1DEL-FTP_RNAIP	IP	SPAC10F6.05c	26.7525	15.52
Red1DEL-FTP_RNAIP	IP	SPAC10F6.06	22.2912121212121	19.455
Red1DEL-FTP_RNAIP	IP	SPAC10F6.07c	20.18	20.18
Red1DEL-FTP_RNAIP	IP	SPAC10F6.08c	37.1	37.1
Red1DEL-FTP_RNAIP	IP	SPAC10F6.10	45.12	45.12
Red1DEL-FTP_RNAIP	IP	SPAC10F6.11c	59.95	59.95
Red1DEL-FTP_RNAIP	IP	SPAC10F6.13c	21.8421621621622	19.79
Red1DEL-FTP_RNAIP	IP	SPAC10F6.14c	26.92	26.92
Red1DEL-FTP_RNAIP	IP	SPAC10F6.16	53.43	47.18
Red1DEL-FTP_RNAIP	IP	SPAC10F6.17c	27.05	27.05
Red1DEL-FTP_RNAIP	IP	SPAC110.01	37.11	37.11
Red1DEL-FTP_RNAIP	IP	SPAC110.02	60.19	60.19
Red1DEL-FTP_RNAIP	IP	SPAC110.03	24.68	18.985
Red1DEL-FTP_RNAIP	IP	SPAC110.04c	23.6605405405405	17.52
Red1DEL-FTP_RNAIP	IP	SPAC110.06	50.1109090909091	44.7
Red1DEL-FTP_RNAIP	IP	SPAC1142.01	50.8785714285714	18.79
Red1DEL-FTP_RNAIP	IP	SPAC1142.02c	21.2663636363636	17.93
Red1DEL-FTP_RNAIP	IP	SPAC1142.03c	33.095	33.095
Red1DEL-FTP_RNAIP	IP	SPAC1142.04	42.35	42.08
Red1DEL-FTP_RNAIP	IP	SPAC1142.05	18.4914285714286	20.54
Red1DEL-FTP_RNAIP	IP	SPAC1142.06	26.866875	18.545
Red1DEL-FTP_RNAIP	IP	SPAC1142.07c	22.9225	22.705
Red1DEL-FTP_RNAIP	IP	SPAC1142.08	60.355	60.355
Red1DEL-FTP_RNAIP	IP	SPAC11D3.01c	16.28	16.28
Red1DEL-FTP_RNAIP	IP	SPAC11D3.02c	25.336	15.08
Red1DEL-FTP_RNAIP	IP	SPAC11D3.03c	32.648	29.09
Red1DEL-FTP_RNAIP	IP	SPAC11D3.04c	35.942	30.92
Red1DEL-FTP_RNAIP	IP	SPAC11D3.07c	77.88	77.88
Red1DEL-FTP_RNAIP	IP	SPAC11D3.08c	35.37	35.37
Red1DEL-FTP_RNAIP	IP	SPAC11D3.09	34.0433333333333	36.6
Red1DEL-FTP_RNAIP	IP	SPAC11D3.11c	8.97	8.97
Red1DEL-FTP_RNAIP	IP	SPAC11D3.13	21.6833333333333	17.07
Red1DEL-FTP_RNAIP	IP	SPAC11D3.16c	26.115	26.115
Red1DEL-FTP_RNAIP	IP	SPAC11D3.17	31.1933333333333	20.39
Red1DEL-FTP_RNAIP	IP	SPAC11D3.18c	69.8275	69.44
Red1DEL-FTP_RNAIP	IP	SPAC11D3.19	30.3075	31.495
Red1DEL-FTP_RNAIP	IP	SPAC11E3.01c	61.97	61.97
Red1DEL-FTP_RNAIP	IP	SPAC11E3.02c	18.544	14.07
Red1DEL-FTP_RNAIP	IP	SPAC11E3.03	66.08	66.08
Red1DEL-FTP_RNAIP	IP	SPAC11E3.04c	31.5264285714286	23.36
Red1DEL-FTP_RNAIP	IP	SPAC11E3.05	19.51	19.51
Red1DEL-FTP_RNAIP	IP	SPAC11E3.07	26.58375	25.79
Red1DEL-FTP_RNAIP	IP	SPAC11E3.09	26.9	26.9
Red1DEL-FTP_RNAIP	IP	SPAC11E3.10	24.1963636363636	21.48
Red1DEL-FTP_RNAIP	IP	SPAC11E3.11c	13.55	13.55
Red1DEL-FTP_RNAIP	IP	SPAC11E3.12	25.8066666666667	21.71
Red1DEL-FTP_RNAIP	IP	SPAC11E3.13c	10.71	10.71
Red1DEL-FTP_RNAIP	IP	SPAC11E3.14	26.055	26.055
Red1DEL-FTP_RNAIP	IP	SPAC11E3.15	35.8336170212766	23.36
Red1DEL-FTP_RNAIP	IP	SPAC11G7.02	37.86	37.86
Red1DEL-FTP_RNAIP	IP	SPAC11G7.03	11.3466666666667	7.78
Red1DEL-FTP_RNAIP	IP	SPAC11G7.04	23.9544262295082	21.24
Red1DEL-FTP_RNAIP	IP	SPAC11G7.05c	22.02	22.02
Red1DEL-FTP_RNAIP	IP	SPAC11H11.02c	53.3233333333333	33.21
Red1DEL-FTP_RNAIP	IP	SPAC11H11.03c	32.125	32.125
Red1DEL-FTP_RNAIP	IP	SPAC11H11.04	61.6	61.6
Red1DEL-FTP_RNAIP	IP	SPAC11H11.05c	58.6957142857143	27.48
Red1DEL-FTP_RNAIP	IP	SPAC11H11.06	21.32	15.7
Red1DEL-FTP_RNAIP	IP	SPAC1250.01	29.115	26.895
Red1DEL-FTP_RNAIP	IP	SPAC1250.02	37.38	37.38
Red1DEL-FTP_RNAIP	IP	SPAC1250.03	53.34	27.76
