Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	AB325691:9366-9650	25.6494285714286	23.09
Red1DEL-FTP_RNAIP	IP	I:1001109-1001255	44.3925	44.595
Red1DEL-FTP_RNAIP	IP	I:1005092-1005461	33.41	37.25
Red1DEL-FTP_RNAIP	IP	I:1008722-1008848	37.085	37.085
Red1DEL-FTP_RNAIP	IP	I:1015872-1016258	4.17	4.17
Red1DEL-FTP_RNAIP	IP	I:102903-103002	19.0863181818182	17.165
Red1DEL-FTP_RNAIP	IP	I:1032143-1032458	49.57	49.57
Red1DEL-FTP_RNAIP	IP	I:1040229-1041170	42.8103846153846	39.12
Red1DEL-FTP_RNAIP	IP	I:1041746-1042069	35.43	35.43
Red1DEL-FTP_RNAIP	IP	I:1042607-1043002	20.0133333333333	17.735
Red1DEL-FTP_RNAIP	IP	I:1047638-1047783	28.4229411764706	24.97
Red1DEL-FTP_RNAIP	IP	I:1049199-1049364	42.068	36.8
Red1DEL-FTP_RNAIP	IP	I:1054957-1055167	32.5475	30.825
Red1DEL-FTP_RNAIP	IP	I:1066321-1067036	23.602	21.95
Red1DEL-FTP_RNAIP	IP	I:1074879-1077499	21.64	21.24
Red1DEL-FTP_RNAIP	IP	I:1076178-1076469	17.9466666666667	18.77
Red1DEL-FTP_RNAIP	IP	I:1082289-1082516	15.71	15.71
Red1DEL-FTP_RNAIP	IP	I:108264-108450	26.23	26.23
Red1DEL-FTP_RNAIP	IP	I:1087172-1087404	43.35	43.35
Red1DEL-FTP_RNAIP	IP	I:108807-109527	30.905	26.845
Red1DEL-FTP_RNAIP	IP	I:1094923-1095141	22.0966666666667	22.81
Red1DEL-FTP_RNAIP	IP	I:1103018-1103193	22.735	22.735
Red1DEL-FTP_RNAIP	IP	I:1103474-1103601	22.735	22.735
Red1DEL-FTP_RNAIP	IP	I:110562-110687	46.6293103448276	48.46
Red1DEL-FTP_RNAIP	IP	I:1108942-1109054	37.78	39.745
Red1DEL-FTP_RNAIP	IP	I:1109227-1109370	27.09	27.09
Red1DEL-FTP_RNAIP	IP	I:1110294-1110584	33.69	33.69
Red1DEL-FTP_RNAIP	IP	I:1114901-1115655	19.03	19.03
Red1DEL-FTP_RNAIP	IP	I:1116665-1116814	14.45	14.45
Red1DEL-FTP_RNAIP	IP	I:1132248-1132381	7.02	7.02
Red1DEL-FTP_RNAIP	IP	I:1135062-1135194	47.07	47.07
Red1DEL-FTP_RNAIP	IP	I:1135403-1135514	47.07	47.07
Red1DEL-FTP_RNAIP	IP	I:1140634-1140870	14.825	14.825
Red1DEL-FTP_RNAIP	IP	I:1142436-1142594	26.14	26.14
Red1DEL-FTP_RNAIP	IP	I:1143534-1143682	33.18	33.18
Red1DEL-FTP_RNAIP	IP	I:1146040-1146154	10	10
Red1DEL-FTP_RNAIP	IP	I:1173524-1173694	9.89	9.89
Red1DEL-FTP_RNAIP	IP	I:1177604-1177733	22.51	13.85
Red1DEL-FTP_RNAIP	IP	I:1192593-1192778	31.29	23.615
Red1DEL-FTP_RNAIP	IP	I:1198228-1198415	41.7533333333333	45.54
Red1DEL-FTP_RNAIP	IP	I:119998-120413	47.516	52.14
