Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	I:1041746-1042069	35.43	35.43
Red1DEL-FTP_RNAIP	IP	I:119998-120413	40.635	40.635
Red1DEL-FTP_RNAIP	IP	I:1241619-1241970	43.6722222222222	50.81
Red1DEL-FTP_RNAIP	IP	I:1269998-1270312	46.215	46.215
Red1DEL-FTP_RNAIP	IP	I:1949211-1949618	32.86	32.86
Red1DEL-FTP_RNAIP	IP	I:2026789-2027115	25.3566666666667	25.9
Red1DEL-FTP_RNAIP	IP	I:2078608-2079082	43.42	43.42
Red1DEL-FTP_RNAIP	IP	I:2155336-2156878	44.56	44.56
Red1DEL-FTP_RNAIP	IP	I:2273677-2275291	36.38	36.38
Red1DEL-FTP_RNAIP	IP	I:3090307-3090898	37.74	37.74
Red1DEL-FTP_RNAIP	IP	I:3504353-3505677	11.43	11.43
Red1DEL-FTP_RNAIP	IP	I:3854403-3855079	19.16	19.16
Red1DEL-FTP_RNAIP	IP	I:409603-410067	29.08	29.08
Red1DEL-FTP_RNAIP	IP	I:4767897-4769810	18.91	18.91
Red1DEL-FTP_RNAIP	IP	I:4878159-4878587	28.8	28.8
Red1DEL-FTP_RNAIP	IP	I:4930964-4931631	42.4263636363636	40.23
Red1DEL-FTP_RNAIP	IP	I:4932660-4933790	59.435	59.435
Red1DEL-FTP_RNAIP	IP	I:4978322-4979199	17.31	17.31
Red1DEL-FTP_RNAIP	IP	I:4989404-4989758	31.7366666666667	18.35
Red1DEL-FTP_RNAIP	IP	I:5026212-5027550	28.7	28.7
Red1DEL-FTP_RNAIP	IP	I:639399-639709	52.6125	53.475
Red1DEL-FTP_RNAIP	IP	II:1073787-1074352	36.23	36.23
Red1DEL-FTP_RNAIP	IP	II:1080897-1081262	51.38	38.825
Red1DEL-FTP_RNAIP	IP	II:194167-195977	36.31	36.31
Red1DEL-FTP_RNAIP	IP	II:2021293-2021970	48.9069230769231	42.535
Red1DEL-FTP_RNAIP	IP	II:2161512-2162256	67.29	67.29
Red1DEL-FTP_RNAIP	IP	II:2232785-2233898	44.04	44.04
Red1DEL-FTP_RNAIP	IP	II:2379600-2380126	35.11	35.11
Red1DEL-FTP_RNAIP	IP	II:3090824-3091747	40.98	40.98
Red1DEL-FTP_RNAIP	IP	II:312774-313106	40.72	40.72
Red1DEL-FTP_RNAIP	IP	II:320614-321445	61.54	77.52
Red1DEL-FTP_RNAIP	IP	II:3457060-3458164	20.78	20.78
Red1DEL-FTP_RNAIP	IP	II:357921-358422	45.2644444444444	35.69
Red1DEL-FTP_RNAIP	IP	II:991506-992071	40.3266666666667	37.5
Red1DEL-FTP_RNAIP	IP	III:117400-118437	61.16	61.16
Red1DEL-FTP_RNAIP	IP	III:2095713-2096021	19.709375	21.785
Red1DEL-FTP_RNAIP	IP	III:2222198-2222662	8.88	8.88
Red1DEL-FTP_RNAIP	IP	III:2315299-2316173	52.05	52.05
Red1DEL-FTP_RNAIP	IP	III:2363180-2363646	54.38	54.38
Red1DEL-FTP_RNAIP	IP	III:2390044-2391932	32.92	32.92
Red1DEL-FTP_RNAIP	IP	III:526570-526950	58.88	58.88
Red1-FTP_RNAIP	IP	I:1041746-1042069	25.5175	26.53
Red1-FTP_RNAIP	IP	I:119998-120413	60.35	54.55
Red1-FTP_RNAIP	IP	I:1241619-1241970	42.34	38.28
Red1-FTP_RNAIP	IP	I:1269998-1270312	68.04	60.635
Red1-FTP_RNAIP	IP	I:1473676-1474755	60.61	56.03
Red1-FTP_RNAIP	IP	I:1615359-1615694	35.77	35.77
Red1-FTP_RNAIP	IP	I:1949211-1949618	39.2366666666667	28.44
Red1-FTP_RNAIP	IP	I:196311-198998	104.606666666667	112.32
Red1-FTP_RNAIP	IP	I:2026789-2027115	69.8520833333333	49.535
Red1-FTP_RNAIP	IP	I:2078608-2079082	96.55	96.55
Red1-FTP_RNAIP	IP	I:2155336-2156878	67.1275	54.76
Red1-FTP_RNAIP	IP	I:2255760-2256479	14.56	14.56
Red1-FTP_RNAIP	IP	I:2273677-2275291	81.24	81.24
Red1-FTP_RNAIP	IP	I:2327863-2328646	26.59	26.26
Red1-FTP_RNAIP	IP	I:2425700-2426168	77.1933333333333	86.77
Red1-FTP_RNAIP	IP	I:2862436-2863820	27.15	27.15
Red1-FTP_RNAIP	IP	I:3090307-3090898	46.2675	31.3
Red1-FTP_RNAIP	IP	I:3118706-3119254	70.26	71.26
Red1-FTP_RNAIP	IP	I:3504353-3505677	33.94	29.53
Red1-FTP_RNAIP	IP	I:409603-410067	76.669	74.98
Red1-FTP_RNAIP	IP	I:4169221-4170747	46.925	46.925
Red1-FTP_RNAIP	IP	I:4198225-4198760	28.585	28.585
Red1-FTP_RNAIP	IP	I:4409756-4410431	52.31	21.72
Red1-FTP_RNAIP	IP	I:4767897-4769810	36.2	36.2
Red1-FTP_RNAIP	IP	I:4780186-4781204	26.4333333333333	16.1
Red1-FTP_RNAIP	IP	I:4810637-4811445	59.11	59.11
Red1-FTP_RNAIP	IP	I:4878159-4878587	30.2425	25.99
Red1-FTP_RNAIP	IP	I:4916931-4917753	37.385	37.385
Red1-FTP_RNAIP	IP	I:4930964-4931631	50.902	57.31
Red1-FTP_RNAIP	IP	I:4932660-4933790	36.86	36.86
Red1-FTP_RNAIP	IP	I:4978322-4979199	17.9466666666667	15.21
Red1-FTP_RNAIP	IP	I:4989404-4989758	61.3177777777778	63.11
Red1-FTP_RNAIP	IP	I:5023200-5024032	26.81	26.81
Red1-FTP_RNAIP	IP	I:5026212-5027550	15.37	15.37
Red1-FTP_RNAIP	IP	I:5411770-5412271	100.745714285714	103.2
Red1-FTP_RNAIP	IP	I:590658-591385	105.171538461538	112.4
Red1-FTP_RNAIP	IP	I:639399-639709	36.9483333333333	36.64
Red1-FTP_RNAIP	IP	I:946493-947126	45.77	45.77
Red1-FTP_RNAIP	IP	II:1073787-1074352	73.0375	63.4
Red1-FTP_RNAIP	IP	II:1080897-1081262	74.325974025974	70.89
Red1-FTP_RNAIP	IP	II:1532995-1533960	34.125	34.805
Red1-FTP_RNAIP	IP	II:1949492-1950258	16.47	16.47
Red1-FTP_RNAIP	IP	II:1955621-1956693	23.82	23.82
Red1-FTP_RNAIP	IP	II:2021293-2021970	87.9092307692308	84.47
Red1-FTP_RNAIP	IP	II:2161512-2162256	54.84	54.84
Red1-FTP_RNAIP	IP	II:2211786-2213621	41.805	41.805
Red1-FTP_RNAIP	IP	II:2232785-2233898	70.4	66.885
Red1-FTP_RNAIP	IP	II:2379600-2380126	23.23	23.23
Red1-FTP_RNAIP	IP	II:2684971-2686354	17.87	17.87
Red1-FTP_RNAIP	IP	II:3090824-3091747	44.0733333333333	35.695
Red1-FTP_RNAIP	IP	II:312774-313106	70.5983333333333	68.81
Red1-FTP_RNAIP	IP	II:320614-321445	75.2814285714286	61.71
Red1-FTP_RNAIP	IP	II:3397083-3398036	33.57	25.95
Red1-FTP_RNAIP	IP	II:3457060-3458164	96.165	96.165
Red1-FTP_RNAIP	IP	II:357921-358422	77.0133333333333	79.1
Red1-FTP_RNAIP	IP	II:359894-360374	15.76	15.76
Red1-FTP_RNAIP	IP	II:3934450-3934829	52.6821052631579	42.18
Red1-FTP_RNAIP	IP	II:747630-748049	68.61	68.61
Red1-FTP_RNAIP	IP	II:793033-793538	19.94	19.94
Red1-FTP_RNAIP	IP	II:991506-992071	60.1785714285714	58.28
Red1-FTP_RNAIP	IP	III:117400-118437	27.93	21.58
Red1-FTP_RNAIP	IP	III:1257161-1257803	18.28	15.13
