Condition	Selection	region	mean_tail_length	median_tail_length
Red1DEL-FTP_RNAIP	IP	I:1005727-1006009	43.545	43.545
Red1DEL-FTP_RNAIP	IP	I:1018926-1019067	27.005	27.005
Red1DEL-FTP_RNAIP	IP	I:1046958-1047271	31.29	31.29
Red1DEL-FTP_RNAIP	IP	I:1057782-1058179	30.5075	24.865
Red1DEL-FTP_RNAIP	IP	I:1069850-1070122	37.984	32.21
Red1DEL-FTP_RNAIP	IP	I:1097393-1097861	40.7825	40.645
Red1DEL-FTP_RNAIP	IP	I:110634-110909	44.5732352941176	45.565
Red1DEL-FTP_RNAIP	IP	I:1111008-1111230	31.54	31.54
Red1DEL-FTP_RNAIP	IP	I:1111620-1111953	33.4633333333333	35.71
Red1DEL-FTP_RNAIP	IP	I:1123671-1123923	29.36	29.36
Red1DEL-FTP_RNAIP	IP	I:1128975-1129310	40.7366666666667	32.47
Red1DEL-FTP_RNAIP	IP	I:113552-113780	30.92	30.92
Red1DEL-FTP_RNAIP	IP	I:1136121-1136881	28.7825	28.095
Red1DEL-FTP_RNAIP	IP	I:1243315-1243644	40.2475	40.945
Red1DEL-FTP_RNAIP	IP	I:124930-125068	33.975	33.975
Red1DEL-FTP_RNAIP	IP	I:1275018-1275251	37.4	37.4
Red1DEL-FTP_RNAIP	IP	I:1285624-1285926	20.68	20.74
Red1DEL-FTP_RNAIP	IP	I:1305916-1306243	22.885	22.885
Red1DEL-FTP_RNAIP	IP	I:1333556-1333772	24.875	24.875
Red1DEL-FTP_RNAIP	IP	I:135832-135943	15.25	15.25
Red1DEL-FTP_RNAIP	IP	I:141773-142382	29.3875	22.18
Red1DEL-FTP_RNAIP	IP	I:1470427-1470640	100.61	100.61
Red1DEL-FTP_RNAIP	IP	I:1492230-1492567	45.6333333333333	49.62
Red1DEL-FTP_RNAIP	IP	I:1576383-1576592	34.0552941176471	31.72
Red1DEL-FTP_RNAIP	IP	I:1620391-1620680	27.54	27.54
Red1DEL-FTP_RNAIP	IP	I:1646630-1647121	29.0671428571429	24.705
Red1DEL-FTP_RNAIP	IP	I:1655721-1655987	47.6075	48.6
Red1DEL-FTP_RNAIP	IP	I:1691561-1691780	59.475	59.475
Red1DEL-FTP_RNAIP	IP	I:1708282-1708538	43.16	43.16
Red1DEL-FTP_RNAIP	IP	I:1712238-1712664	43.1466666666667	38.4
Red1DEL-FTP_RNAIP	IP	I:1739359-1739687	38.6828571428571	32.76
Red1DEL-FTP_RNAIP	IP	I:1755749-1755954	59.09	59.09
Red1DEL-FTP_RNAIP	IP	I:1773505-1774166	27.5966666666667	34.06
Red1DEL-FTP_RNAIP	IP	I:180002-180260	37.6983333333333	41.46
Red1DEL-FTP_RNAIP	IP	I:1820256-1820392	27.08	27.08
Red1DEL-FTP_RNAIP	IP	I:1850991-1851271	40.052	39.73
